job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_buf_write_u8,TRUE,56,289,0,0,0,5,0.08,0.08,0.02,0.15,0.01,0.01,0.11,0
byte_buf_write_u82,TRUE,47,217,0,0,0,2,0.08,0.08,0.01,0.08,0.01,0.01,0.1,0
byte_buf_write2,TRUE,80,392,2,0,2,3,0.1,0.1,0.03,0.12,0.01,0.01,0.14,0
byte_cursor_advance,TRUE,51,265,0,0,0,3,0.13,0.13,0.02,0.1,0.01,0.01,0.16,0
byte_cursor_advance_nospec,TRUE,68,376,2,0,2,1,0.2,0.2,0.02,0.08,0.01,0.01,0.24,0
byte_cursor_advance_nospec2,TRUE,50,253,0,0,0,0,0.06,0.06,0.01,0.08,0.01,0.01,0.09,0
byte_cursor_advance2,TRUE,42,190,0,0,0,0,0.03,0.03,0.01,0.07,0.01,0.01,0.05,0
byte_cursor_compare_lexical,TRUE,157,941,0,0,0,30,0.74,0.74,0.04,0.27,0.01,0.01,0.8,0
byte_cursor_compare_lexical2,TRUE,139,843,0,0,0,24,0.66,0.66,0.04,0.19,0.01,0.01,0.73,0
byte_cursor_compare_lookup,TRUE,317,1759,0,10,6,12,0.66,0.66,0.08,0.52,0.01,0.01,0.78,0
byte_cursor_compare_lookup2,TRUE,299,1664,0,10,6,6,0.5,0.5,0.07,0.29,0.01,0.01,0.6,0
byte_cursor_eq,TRUE,158,922,0,0,0,14,0.7,0.7,0.03,0.17,0.01,0.01,0.76,0
byte_cursor_eq_byte_buf,TRUE,174,987,0,0,0,14,0.36,0.36,0.05,0.29,0.01,0.01,0.43,0
byte_cursor_eq_byte_buf_ignore_case,TRUE,159,2512,0,0,0,8,1,1,0.04,0.33,0.01,0.02,1.08,0
byte_cursor_eq_byte_buf_ignore_case2,TRUE,144,2434,0,0,0,2,0.53,0.53,0.05,0.15,0.01,0.02,0.62,0
byte_cursor_eq_byte_buf2,TRUE,167,953,0,0,0,8,0.26,0.26,0.04,0.15,0.01,0.01,0.33,0
byte_cursor_eq_c_str,TRUE,267,1379,0,0,0,11,0.7,0.7,0.04,0.14,0.01,0.01,0.77,0
byte_cursor_eq_c_str_ignore_case,TRUE,261,3025,0,0,0,11,1.42,1.42,0.04,0.13,0.01,0.02,1.5,0
byte_cursor_eq_c_str_ignore_case2,TRUE,247,2944,0,1,1,4,1.42,1.42,0.04,0.09,0.01,0.02,1.51,0
byte_cursor_eq_c_str2,TRUE,253,1295,0,1,1,4,0.64,0.64,0.04,0.1,0.01,0.01,0.7,0
byte_cursor_eq_ignore_case,TRUE,139,2432,0,0,0,8,0.72,0.72,0.04,0.18,0.01,0.02,0.8,0
byte_cursor_eq_ignore_case2,TRUE,121,2337,0,0,0,2,0.01,0.01,0.04,0.1,0.01,0.02,0.09,0
byte_cursor_eq2,TRUE,140,824,0,0,0,8,0.55,0.55,0.03,0.12,0.01,0.01,0.6,0
byte_cursor_from_array,TRUE,28,127,0,0,0,0,0.01,0.01,0.01,0.05,0.01,0.01,0.03,0
byte_cursor_from_buf,TRUE,68,308,0,0,0,3,0.03,0.03,0.01,0.2,0,0.01,0.06,0
byte_cursor_from_buf2,TRUE,57,244,0,0,0,0,0.02,0.02,0.02,0.12,0,0.01,0.05,0
byte_cursor_from_c_str,TRUE,164,867,0,0,0,18,0.18,0.18,0.03,0.08,0.01,0.01,0.23,0
byte_cursor_from_string,TRUE,27,299,2,0,2,11,0.02,0.02,0.01,0.08,0.01,0.01,0.05,0
byte_cursor_left_trim_pred,TRUE,74,420,0,0,1,3,0.09,0.09,0.02,0.1,0.01,0.01,0.13,0
byte_cursor_left_trim_pred2,TRUE,105,463,0,0,1,0,0.02,0.02,0.03,0.09,0.01,0.01,0.05,0
byte_cursor_read,TRUE,88,447,4,0,4,3,0.2,0.2,0.02,0.11,0.01,0.01,0.24,0
byte_cursor_read_and_fill_buffer,TRUE,118,580,4,0,4,4,0.24,0.24,0.03,0.22,0.01,0.01,0.29,0
byte_cursor_read_and_fill_buffer2,TRUE,95,475,2,0,2,2,0.1,0.1,0.03,0.17,0.01,0.01,0.15,0
byte_cursor_read_be16,TRUE,52,310,2,0,2,3,0.11,0.11,0.02,0.11,0.01,0.01,0.15,0
byte_cursor_read_be16_2,TRUE,43,269,2,0,2,2,0.04,0.04,0.01,0.09,0.01,0.01,0.07,0
byte_cursor_read_be32,TRUE,52,334,2,0,2,3,0.12,0.12,0.02,0.1,0.01,0.01,0.16,0
byte_cursor_read_be32_2,TRUE,43,293,2,0,2,2,0.05,0.05,0.01,0.09,0.01,0.01,0.08,0
byte_cursor_read_be64,TRUE,52,381,2,0,2,3,0.15,0.15,0.02,0.11,0.01,0.01,0.18,0
byte_cursor_read_be64_2,TRUE,43,340,2,0,2,2,0.06,0.06,0.01,0.09,0.01,0.01,0.09,0
byte_cursor_read_u8,TRUE,64,339,2,0,2,3,0.07,0.07,0.02,0.09,0.01,0.01,0.1,0
byte_cursor_read_u8_2,TRUE,55,297,2,0,2,2,0.05,0.05,0.02,0.08,0.01,0.01,0.08,0
byte_cursor_read2,TRUE,70,372,2,0,2,2,0.1,0.1,0.02,0.09,0.01,0.01,0.13,0
byte_cursor_right_trim_pred,TRUE,64,361,0,0,0,4,0.1,0.1,0.02,0.1,0.01,0.01,0.13,0
byte_cursor_right_trim_pred2,TRUE,55,294,0,0,0,1,0.01,0.01,0.02,0.08,0.01,0.01,0.04,0
byte_cursor_satisfies_pred,TRUE,114,530,0,0,1,3,0.1,0.1,0.02,0.09,0.01,0.01,0.14,0
byte_cursor_satisfies_pred2,TRUE,105,463,0,0,1,0,0.02,0.02,0.03,0.06,0,0.01,0.05,0
byte_cursor_trim_pred,TRUE,204,986,10,1,2,3,0.15,0.15,0.06,0.13,0.01,0.01,0.25,0
byte_cursor_trim_pred2,TRUE,195,919,10,1,2,0,0.08,0.08,0.05,0.1,0.01,0.01,0.16,0
hash_array_ignore_case,TRUE,107,436,10,1,1,0,0.03,0.03,0.03,0.04,0.01,0.01,0.08,0
hash_byte_cursor_ptr,TRUE,8,42,0,0,0,81,0.01,0.01,0.01,0.23,0.01,0.01,0.02,0
hash_byte_cursor_ptr_ignore_case,TRUE,64,292,0,0,1,0,0.02,0.02,0.02,0.07,0.01,0.01,0.05,0
hash_c_string,TRUE,423,1726,3,54,42,0,0.64,0.64,0.07,0.17,0,0.01,0.75,0
hash_callback_c_str_eq,TRUE,379,2256,0,0,0,22,4.66,4.66,0.07,0.15,0.01,0.02,4.78,0
hash_callback_string_destroy,TRUE,18,168,1,0,1,7,0.03,0.03,0.01,0.04,0,0.01,0.05,0
hash_callback_string_eq,TRUE,270,2430,2,0,2,25,8.74,8.74,0.05,0.07,0.01,0.03,8.84,0
hash_iter_begin,TRUE,502,2521,37,1,6,79,0.84,0.84,0.39,1.76,0.01,0.03,1.37,0
hash_iter_begin_done,TRUE,921,4194,69,1,7,82,0.99,0.99,0.61,2.13,0.01,0.03,1.81,0
hash_iter_begin_done2,TRUE,897,4065,67,0,4,81,0.39,0.39,0.42,1.73,0.01,0.03,0.96,0
hash_iter_begin2,TRUE,474,2375,35,0,3,78,0.39,0.39,0.4,1.32,0.01,0.04,0.94,0
