job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_buf_write_from_whole_string2,TRUE,272,2513,24,1,25,2,2.46,2.46,0.2,0.02,0.01,0.07,2.84,0
byte_buf_write_u8,TRUE,119,504,0,5,5,0,0.1,0.1,0.04,0.03,0.01,0.01,0.16,0
byte_buf_write_u82,TRUE,100,389,0,2,2,0,0.08,0.08,0.04,0.02,0.01,0.01,0.15,0
byte_buf_write2,TRUE,136,574,0,3,3,2,0.09,0.09,0.07,0.02,0.01,0.01,0.2,0
byte_cursor_advance,TRUE,78,364,0,3,3,0,0.09,0.09,0.02,0.02,0.01,0.01,0.14,0
byte_cursor_advance_nospec,TRUE,86,437,2,1,3,0,0.14,0.14,0.03,0.02,0.01,0.01,0.2,0
byte_cursor_advance_nospec2,TRUE,64,303,0,0,0,0,0.05,0.05,0.02,0.02,0.01,0.01,0.09,0
byte_cursor_advance2,TRUE,59,252,0,0,0,0,0.03,0.03,0.02,0.01,0.01,0.01,0.06,0
byte_cursor_compare_lexical,TRUE,203,1131,0,6,6,24,0.82,0.82,0.13,0.04,0.01,0.01,0.99,0
byte_cursor_compare_lexical2,TRUE,166,965,0,0,0,24,0.7,0.7,0.08,0.03,0.01,0.01,0.81,0
byte_cursor_compare_lookup,TRUE,424,2159,0,16,12,6,0.64,0.64,0.69,0.05,0.01,0.02,1.5,0
byte_cursor_compare_lookup2,TRUE,388,1998,0,10,6,6,0.57,0.57,0.6,0.05,0.01,0.02,1.31,0
byte_cursor_eq,TRUE,203,1103,0,6,6,8,0.72,0.72,0.04,0.03,0.01,0.01,0.79,0
byte_cursor_eq_byte_buf,TRUE,254,1272,0,6,6,8,0.41,0.41,0.17,0.03,0.01,0.01,0.64,0
byte_cursor_eq_byte_buf_ignore_case,TRUE,268,2844,0,16,8,0,0.96,0.96,0.24,0.03,0.01,0.03,1.34,0
byte_cursor_eq_byte_buf_ignore_case2,TRUE,230,2680,0,10,2,0,0.5,0.5,0.19,0.02,0.01,0.03,0.81,0
byte_cursor_eq_byte_buf2,TRUE,226,1150,0,0,0,8,0.21,0.21,0.05,0.02,0.01,0.01,0.3,0
byte_cursor_eq_c_str,TRUE,99,578,0,11,9,2,0.08,0.08,0.01,0.03,0,0.01,0.11,0
