job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef
linked_list_remove,TRUE,21,121,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0,0
linked_list_rend,TRUE,376,2261,6,17,0,0,0.58,0.58,0.08,0,0.01,0.03,0.73,0,0.02
linked_list_swap_contents,TRUE,1558,10490,5,127,0,0,6.98,6.98,0.31,0,0.01,0.47,8.07,0,0.12
mul_size_checked,TRUE,30,159,0,0,0,0,0.12,0.12,0.01,0,0.01,0.01,0.13,0,0
mul_size_saturating,TRUE,34,188,0,0,0,0,0.15,0.15,0.01,0,0.01,0.01,0.17,0,0
nospec_mask,TRUE,14,84,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.03,0,0
priority_queue_capacity,TRUE,461,2221,0,6,0,0,0.36,0.36,0.06,0,0.01,0.01,0.48,0,0.01
priority_queue_clean_up,TRUE,167,840,0,1,0,0,0.01,0.01,0.02,0,0,0.01,0.04,0,0.01
priority_queue_init_dynamic,TRUE,167,847,0,0,0,0,0.17,0.17,0.02,0,0.01,0.01,0.22,0,0
priority_queue_init_static,TRUE,116,605,0,0,0,0,0.21,0.21,0.01,0,0.01,0.01,0.24,0,0
priority_queue_size,TRUE,465,2241,0,6,0,0,0.37,0.37,0.06,0,0.01,0.01,0.49,0,0.01
priority_queue_top,TRUE,477,2297,0,6,0,0,0.4,0.4,0.07,0,0.01,0.01,0.52,0,0.01
ptr_eq,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.02,0,0
ring_buffer_acquire_up_to2,TRUE,574,2684,0,0,0,0,7.41,7.41,0.52,0,0.01,0.02,8.04,0,0
ring_buffer_acquire2,TRUE,560,2557,0,0,0,0,10.07,10.07,0.49,0,0.01,0.02,10.66,0,0
ring_buffer_buf_belongs_to_pool2,TRUE,404,1796,0,0,0,0,16.15,16.15,0.18,0,0.01,0.01,16.39,0,0
ring_buffer_clean_up,TRUE,86,461,0,0,0,0,0.08,0.08,0.03,0,0.01,0.01,0.13,0,0
ring_buffer_init,TRUE,104,469,0,0,0,0,0.03,0.03,0.03,0,0.01,0.01,0.08,0,0
ring_buffer_release2,TRUE,434,1970,0,0,0,0,9.14,9.14,0.18,0,0.01,0.01,9.39,0,0
round_up_to_power_of_two,TRUE,27,644,0,0,0,0,0.1,0.1,0.01,0,0,0.02,0.13,0,0
string_bytes,TRUE,42,250,2,7,0,0,0.09,0.09,0.01,0,0.01,0.01,0.11,0,0.01
string_compare,TRUE,349,2083,43,6,0,0,2.82,2.82,0.08,0,0.01,0.02,2.98,0,0.03
string_destroy,TRUE,33,214,2,3,0,0,0.03,0.03,0.01,0,0,0.01,0.05,0,0.01
string_destroy_secure,TRUE,55,379,2,7,0,0,0.06,0.06,0.01,0,0.01,0.01,0.09,0,0.01
string_eq,TRUE,349,2041,47,6,0,0,2.68,2.68,0.09,0,0.01,0.02,2.84,0,0.03
string_eq_byte_buf,TRUE,401,2130,23,20,0,0,1.04,1.04,0.12,0,0.01,0.02,1.22,0,0.03
