job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
string_destroy,TRUE,35,226,0,0,0.12,0.12,0.01,0,0.01,0.15,0
string_destroy_secure,TRUE,61,393,0,0,0.13,0.13,0.01,0.01,0.01,0.15,0
string_eq_c_str_ignore_case,TRUE,569,5130,0,0,3.06,3.06,0.07,0.01,0.03,3.20,0
string_new_from_string,TRUE,180,1202,0,0,0.84,0.84,0.10,0.01,0.02,0.96,0
string_eq_byte_cursor_ignore_case,TRUE,384,4466,0,0,3.67,3.67,1.32,0.01,0.03,5.08,0
priority_queue_init_static,TRUE,114,605,0,0,0.37,0.37,0.04,0.01,0.01,0.43,0
priority_queue_capacity,TRUE,462,2220,0,0,0.41,0.41,1.00,0.01,0.01,1.50,0
priority_queue_size,TRUE,466,2240,0,0,0.69,0.69,1.05,0.01,0.01,1.84,0
priority_queue_top,TRUE,478,2296,0,0,0.50,0.50,1.08,0.01,0.01,1.67,0
priority_queue_clean_up,TRUE,167,840,0,0,0.01,0.01,0.15,0,0.01,0.19,0
priority_queue_init_dynamic,TRUE,165,847,0,0,0.35,0.35,0.07,0.01,0.01,0.45,0
ring_buffer_clean_up,TRUE,86,461,0,0,0.12,0.12,0.06,0.01,0.01,0.20,0
ring_buffer_init,TRUE,104,469,0,0,0.29,0.29,0.07,0.01,0.01,0.39,0
array_eq_c_str_ignore_case2,TRUE,100,586,0,0,0.07,0.07,0.01,0,0.01,0.10,0
array_eq_c_str2,TRUE,532,2292,0,0,0.59,0.59,0.04,0.01,0.01,0.66,0
array_list_back2,TRUE,197,900,0,0,0.20,0.20,0.08,0.01,0.01,0.31,0
string_eq_ignore_case,TRUE,410,4911,0,0,2.03,2.03,5.17,0.01,0.05,7.35,0
array_list_capacity2,TRUE,135,626,0,0,0.15,0.15,0.05,0.01,0.01,0.22,0
array_eq2,TRUE,406,1881,0,0,1.17,1.17,0.20,0.01,0.01,1.41,0
array_eq_ignore_case2,TRUE,210,2503,0,0,0.53,0.53,0.62,0.01,0.02,1.19,0
array_list_front2,TRUE,192,872,0,0,0.18,0.18,0.07,0.01,0.01,0.28,0
array_list_get_at_ptr2,TRUE,182,842,0,0,0.17,0.17,0.08,0.01,0.01,0.28,0
array_list_get_at2,TRUE,194,890,0,0,0.36,0.36,0.09,0.01,0.01,0.47,0
array_list_ensure_capacity2,TRUE,184,887,0,0,0.69,0.69,0.11,0.01,0.01,0.83,0
array_list_init_static2,TRUE,122,580,0,0,0.31,0.31,0.06,0.01,0.01,0.38,0
array_list_length2,TRUE,139,647,0,0,0.16,0.16,0.05,0.01,0.01,0.23,0
array_list_pop_back2,TRUE,159,741,0,0,0.48,0.48,0.07,0.01,0.01,0.57,0
array_list_push_back2,TRUE,259,1210,0,0,0.32,0.32,0.25,0.01,0.02,0.63,0
array_list_sort2,TRUE,147,689,0,0,0.17,0.17,0.06,0.01,0.01,0.25,0
array_list_shrink_to_fit2,TRUE,215,1011,0,0,0.77,0.77,0.15,0.01,0.02,0.96,0
array_list_pop_front2,TRUE,180,838,0,0,1.30,1.30,0.08,0.01,0.02,1.42,0
array_list_set_at2,TRUE,255,1348,0,0,1.02,1.02,0.31,0.01,0.03,1.40,0
byte_buf_append2,TRUE,187,821,0,0,0.04,0.04,0.10,0.01,0.01,0.16,0
byte_buf_advance2,TRUE,244,1079,0,0,0.05,0.05,0.44,0.01,0.01,0.54,0
byte_buf_append_dynamic2,TRUE,238,1084,0,0,0.18,0.18,0.17,0.01,0.01,0.40,0
byte_buf_eq_c_str2,TRUE,113,645,0,0,0.08,0.08,0.03,0,0.01,0.13,0
byte_buf_eq_c_str_ignore_case2,TRUE,113,645,0,0,0.08,0.08,0.03,0,0.01,0.13,0
byte_buf_append_with_lookup2,TRUE,356,1665,0,0,0.09,0.09,1.01,0.01,0.02,1.17,0
