job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef,join_count,join_time,base_join_count,base_join_time
priority_queue_top,TRUE,477,2297,0,6,0,0,0.44,0.44,0.41,0,0.01,0.02,0.96,0,0.03,449,0.049,5,0.014
ptr_eq,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0,0,1,0,0,0
ring_buffer_acquire_up_to2,TRUE,574,2703,0,0,0,0,6.29,6.29,1.09,0,0.01,0.03,7.51,0,0,548,0.249,66,0.169
ring_buffer_acquire2,TRUE,560,2574,0,0,0,0,3.27,3.27,0.93,0,0.01,0.02,4.32,0,0,536,0.227,55,0.148
ring_buffer_buf_belongs_to_pool2,TRUE,404,1796,0,0,0,0,11.67,11.67,0.35,0,0.01,0.01,12.07,0,0,370,0.067,30,0.037
ring_buffer_clean_up,TRUE,86,461,0,0,0,0,0.12,0.12,0.06,0,0,0.01,0.21,0,0,73,0.013,9,0.007
ring_buffer_init,TRUE,104,469,0,0,0,0,0.29,0.29,0.07,0,0.01,0.01,0.39,0,0,98,0.016,13,0.008
ring_buffer_release2,TRUE,434,1970,0,0,0,0,12.57,12.57,0.4,0,0.01,0.01,13.03,0,0,406,0.073,25,0.044
round_up_to_power_of_two,TRUE,27,644,0,0,0,0,0.14,0.14,0.01,0,0.01,0.02,0.18,0,0,22,0,0,0
string_bytes,TRUE,43,254,3,6,0,0,0.08,0.08,0.02,0,0.01,0.01,0.13,0,0.02,38,0.002,2,0.001
string_compare,TRUE,349,2083,43,6,0,0,3.63,3.63,0.21,0,0.01,0.02,3.94,0,0.06,331,0.056,73,0.035
string_destroy,TRUE,34,220,3,2,0,0,0.07,0.07,0.02,0,0,0.01,0.11,0,0.01,23,0.002,3,0.001
string_destroy_secure,TRUE,55,380,2,7,0,0,0.07,0.07,0.03,0,0.01,0.01,0.13,0,0.02,47,0.003,3,0.001
string_eq,TRUE,349,2040,47,6,0,0,2.93,2.93,0.17,0,0.01,0.02,3.21,0,0.06,333,0.043,74,0.026
string_eq_byte_buf,TRUE,401,2130,23,20,0,0,1.68,1.68,0.29,0,0.01,0.02,2.1,0,0.08,388,0.076,47,0.045
string_eq_byte_buf_ignore_case,TRUE,350,3351,21,15,0,0,1.85,1.85,0.3,0,0.01,0.03,2.34,0,0.12,340,0.072,44,0.044
string_eq_byte_cursor,TRUE,330,1848,24,20,0,0,1.79,1.79,0.26,0,0.01,0.02,2.18,0,0.08,326,0.068,52,0.041
string_eq_byte_cursor_ignore_case,TRUE,372,4418,21,27,0,0,3.37,3.37,0.26,0,0.01,0.04,3.8,0,0.1,370,0.058,47,0.034
string_eq_c_str,TRUE,570,2689,10,54,0,0,2.65,2.65,0.06,0,0.01,0.02,2.79,0,0.03,541,0.01,12,0.004
string_eq_c_str_ignore_case,TRUE,563,5112,9,54,0,0,2.27,2.27,0.07,0,0.01,0.03,2.42,0,0.02,537,0.01,11,0.004
string_eq_ignore_case,TRUE,405,4893,52,6,0,0,1.86,1.86,0.37,0,0.01,0.06,2.5,0,0.16,396,0.095,88,0.061
string_new_from_array,TRUE,106,951,0,20,0,0,0.89,0.89,0.05,0,0.01,0.01,1,0,0.03,107,0.005,2,0.001
string_new_from_c_str,TRUE,364,1636,0,53,0,0,0.15,0.15,0.06,0,0.01,0.01,0.26,0,0.03,351,0.004,0,0
