job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef,join_count,join_time,base_join_count,base_join_time
byte_buf_eq_c_str_ignore_case2,TRUE,112,642,1,10,0,0,0.08,0.08,0.01,0,0,0.01,0.11,0,0.01,88,0,0,0
byte_buf_eq_c_str2,TRUE,112,642,1,10,0,0,0.07,0.07,0.01,0,0,0.01,0.1,0,0.01,88,0.001,0,0
byte_buf_eq_ignore_case,TRUE,500,3854,26,2,0,0,1.15,1.15,0.05,0,0.01,0.03,1.27,1,0.02,467,0.01,156,0
byte_buf_eq_ignore_case2,TRUE,302,2960,20,2,0,0,0.57,0.57,0.05,0,0.01,0.02,0.67,1,0.01,282,0.012,147,0
byte_buf_eq2,TRUE,616,2750,0,46,0,0,1.1,1.1,0.04,0,0.01,0.01,1.18,1,0.01,588,0.005,42,0
byte_buf_from_array,TRUE,69,353,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.03,0,0,56,0,0,0
byte_buf_from_c_str,TRUE,332,1526,1,32,0,0,0.29,0.29,0.03,0,0.01,0.01,0.34,0,0.01,308,0.002,0,0
byte_buf_from_empty_array,TRUE,69,353,0,0,0,0,0.01,0.01,0.01,0,0,0,0.03,0,0,56,0,0,0
byte_buf_init,TRUE,91,418,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.04,0,0,76,0.001,8,0
byte_buf_init_copy,TRUE,314,1779,9,0,0,0,1.07,1.07,0.04,0,0.01,0.02,1.15,1,0.01,286,0.007,57,0
byte_buf_init_copy_from_cursor,TRUE,152,723,2,2,0,0,0.07,0.07,0.02,0,0.01,0.02,0.12,1,0.01,132,0.004,35,0
byte_buf_init_copy2,TRUE,306,1752,7,0,0,0,0.99,0.99,0.03,0,0.01,0.03,1.07,1,0.01,278,0.006,57,0
byte_buf_reserve,TRUE,133,587,4,0,0,0,0.05,0.05,0.01,0,0.01,0.02,0.08,0,0.01,112,0,5,0
byte_buf_reserve_relative,TRUE,239,1047,2,2,0,0,0.03,0.03,0.02,0,0.01,0.01,0.06,0,0.01,218,0.001,7,0
byte_buf_reset,TRUE,80,381,2,0,0,0,0.06,0.06,0.01,0,0.01,0.01,0.1,0,0.01,63,0,3,0
byte_buf_secure_zero,TRUE,119,547,2,0,0,0,0.08,0.08,0.01,0,0.01,0.01,0.12,0,0.01,102,0.001,2,0
byte_buf_write,TRUE,213,979,5,2,0,0,0.14,0.14,0.01,0,0.01,0.01,0.18,0,0.01,190,0,10,0
byte_buf_write_be16,TRUE,190,882,5,0,0,0,0.05,0.05,0.02,0,0.01,0.01,0.08,0,0.01,170,0.002,8,0
byte_buf_write_be162,TRUE,142,616,2,0,0,0,0.03,0.03,0.03,0,0.01,0.01,0.08,0,0.01,125,0.002,7,0
byte_buf_write_be32,TRUE,190,882,5,0,0,0,0.04,0.04,0.02,0,0.01,0.01,0.08,0,0.01,170,0.002,8,0
byte_buf_write_be322,TRUE,142,616,2,0,0,0,0.03,0.03,0.01,0,0.01,0.01,0.06,0,0.01,125,0,7,0
byte_buf_write_be64,TRUE,190,880,5,0,0,0,0.05,0.05,0.02,0,0.01,0.01,0.1,0,0.01,170,0.002,8,0
byte_buf_write_be642,TRUE,160,705,3,0,0,0,0.04,0.04,0.02,0,0.01,0.01,0.08,0,0.01,140,0.001,8,0
byte_buf_write_from_whole_buffer,TRUE,364,1627,10,0,0,0,0.15,0.15,0.04,0,0.01,0.02,0.24,0,0.01,328,0.004,14,0
byte_buf_write_from_whole_buffer2,TRUE,278,1188,4,0,0,0,0.1,0.1,0.04,0,0.01,0.02,0.17,0,0.01,250,0.004,15,0
byte_buf_write_from_whole_cursor,TRUE,277,1291,5,5,0,0,0.16,0.16,0.02,0,0.01,0.02,0.22,0,0.01,253,0.003,8,0
byte_buf_write_from_whole_cursor2,TRUE,194,877,2,2,0,0,0.09,0.09,0.02,0,0.01,0.01,0.13,0,0.01,174,0.001,12,0
byte_buf_write_from_whole_string,TRUE,323,2975,28,2,0,0,3.18,3.18,0.03,0,0.01,0.06,3.31,0,0.02,297,0.003,42,0
byte_buf_write_from_whole_string2,TRUE,269,2584,25,2,0,0,2.26,2.26,0.02,0,0.01,0.06,2.37,0,0.01,246,0.002,40,0
byte_buf_write_u8,TRUE,190,878,5,0,0,0,0.11,0.11,0.03,0,0.01,0.01,0.16,0,0.01,170,0.003,8,0
byte_buf_write_u82,TRUE,142,616,2,0,0,0,0.09,0.09,0.01,0,0.01,0.01,0.12,0,0.01,125,0.001,7,0
byte_buf_write2,TRUE,178,809,3,2,0,0,0.11,0.11,0.02,0,0.01,0.01,0.16,0,0.01,155,0.002,9,0
