job_name,result,bmc.circ_sz,bmc.dag_sz,crab.opsem.isderef.not.solve,crab.opsem.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
hash_iter_done2,TRUE,566,2401,78,6,0,0,0.15,0.15,0.16,0,0.01,0.03,0.44,0
mem_realloc_unsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hash_iter_begin2,TRUE,783,3536,86,18,0,0,0.27,0.27,0.40,0,0.01,0.06,0.91,0
ring_buffer_release2,FALSE,429,1962,0,0,0,0,0.22,0.22,0.09,0,0.01,0.02,0.41,0
hash_iter_next2,TRUE,646,2936,87,6,0,0,0.65,0.65,0.19,0,0.01,0.04,1.02,0
hash_iter_begin_done2,TRUE,1316,5467,119,52,0,0,0.31,0.31,0.53,0,0.01,0.05,1.18,0
hash_table_find2,TRUE,1136,4668,158,20,0,0,1.58,1.58,0.51,0,0.01,0.06,2.42,0
priority_queue_s_sift_either,TRUE,1012,6023,43,28,0,0,1.44,1.44,0.21,0,0.01,0.16,1.99,0
array_list_swap,TRUE,260,1491,14,14,0,0,35.60,35.60,0.03,0,0.01,0.02,35.68,0
hash_table_eq,TRUE,7300,29929,592,521,0,0,8.60,8.60,6.89,0,0.01,0.41,24.65,0
priority_queue_s_remove_node,TRUE,879,5730,27,16,0,0,4.01,4.01,0.19,0,0.01,0.18,4.51,0
priority_queue_remove,TRUE,756,3607,4,2,0,0,3.18,3.18,0.06,0,0.01,0.02,3.34,0
ring_buffer_release,FALSE,429,1962,0,0,0,0,0.20,0.20,0.10,0,0.01,0.01,0.38,0
priority_queue_pop,TRUE,849,3986,4,2,0,0,3.24,3.24,0.11,0,0.01,0.02,3.45,0
ring_buffer_acquire_up_to2,TRUE,536,2506,0,0,0,0,8.70,8.70,0.14,0,0.01,0.02,8.96,0
priority_queue_push,TRUE,643,4430,11,6,0,0,5.15,5.15,0.09,0,0.01,0.49,5.85,0
priority_queue_push_ref,TRUE,644,4434,11,6,0,0,4.57,4.57,0.12,0,0.01,0.49,5.29,0
ring_buffer_acquire2,TRUE,533,2445,0,0,0,0,11.16,11.16,0.15,0,0.01,0.02,11.40,0
ring_buffer_acquire_up_to,TRUE,572,2681,0,0,0,0,7.51,7.51,0.15,0,0.01,0.02,7.76,0
ring_buffer_buf_belongs_to_pool2,TRUE,392,1788,0,0,0,0,21.40,21.40,0.07,0,0.01,0.02,21.55,0
ring_buffer_buf_belongs_to_pool,TRUE,465,2145,0,0,0,0,31.19,31.19,0.11,0,0.01,0.02,31.38,0
ring_buffer_acquire,TRUE,570,2630,0,0,0,0,32.09,32.09,0.17,0,0.01,0.02,32.36,0
hash_table_foreach_deep_precise,TRUE,1330,13787,132,64,0,0,25.93,25.93,0.63,0,0.01,5.74,33.12,0
hash_table_foreach_deep_loose,TRUE,1247,13475,126,53,0,0,42.99,42.99,0.74,0,0.01,5.71,50.24,0
priority_queue_s_swap,TRUE,673,3976,28,15,0,0,70.17,70.17,0.16,0,0.01,0.07,70.50,0
priority_queue_s_sift_down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
priority_queue_s_sift_up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
