job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_from_c_str,TRUE,313,1397,0,33,0.36,0.28,0.01,0.01,0.39,0.01
byte_cursor_left_trim_pred,TRUE,184,888,2,1,0.14,0.05,0.01,0.01,0.16,0.01
byte_cursor_read,TRUE,151,765,4,3,0.64,0.52,0.01,0.04,0.67,0.01
byte_cursor_read_and_fill_buffer,TRUE,264,1258,4,4,0.78,0.58,0.01,0.05,0.82,0.01
byte_cursor_read_be16,TRUE,113,622,2,1,0.17,0.08,0.01,0.03,0.20,0.01
byte_cursor_read_be32,TRUE,113,648,2,1,0.22,0.11,0.01,0.03,0.24,0.01
byte_cursor_read_be64,TRUE,113,699,2,1,0.25,0.15,0.01,0.04,0.27,0.01
byte_cursor_read_u8,TRUE,124,627,2,3,0.18,0.08,0.01,0.03,0.21,0.01
byte_cursor_right_trim_pred,TRUE,209,962,2,12,0.18,0.05,0.01,0.01,0.21,0.01
byte_cursor_satisfies_pred,TRUE,166,780,2,1,0.13,0.05,0.01,0.01,0.15,0.01
hash_ptr,TRUE,12,67,0,0,0.03,0.01,0.01,0.04
byte_cursor_trim_pred,TRUE,314,1457,12,2,0.86,0.64,0.01,0.02,0.89,0.01
hash_string,TRUE,199,855,24,6,0.22,0.07,0.01,0.24,0.01
hash_array_ignore_case,TRUE,106,440,9,2,0.09,0.04,0.01,0.01,0.11,0.01
hash_byte_cursor_ptr_ignore_case,TRUE,98,459,0,0,0.06,0.03,0.01,0.01,0.08
hash_byte_cursor_ptr,TRUE,189,850,0,21,0.14,0.06,0.01,0.01,0.17,0.01
hash_c_string,TRUE,458,1930,3,54,0.41,0.30,0.01,0.44,0.01
hash_callback_string_destroy,TRUE,36,232,1,7,0.09,0.06,0.01,0.10
hash_iter_begin,TRUE,766,3552,34,74,2.12,0.60,0.01,0.08,2.22,0.01
hash_callback_c_str_eq,TRUE,705,3355,0,82,7.61,7.41,0.01,0.04,7.65,0.01
hash_callback_string_eq,TRUE,519,3276,36,41,8.28,7.49,0.01,0.07,8.34,0.01
hash_iter_begin_done,TRUE,1298,5482,66,109,3.84,1.54,0.01,0.08,3.98,0.02
hash_iter_done,TRUE,518,2461,6,82,1.58,0.42,0.01,0.07,1.67,0.01
hash_iter_next,TRUE,591,2914,15,82,3.02,1.63,0.01,0.08,3.12,0.01
array_list_swap,TRUE,276,1524,24,4,49.02,48.84,0.01,0.03,49.05,0.01
hash_table_get_entry_count,TRUE,216,1202,0,48,0.34,0.13,0.01,0.04,0.36,0.01
hash_table_move,TRUE,209,1174,0,46,0.31,0.11,0.01,0.04,0.34,0.01
hash_table_swap,TRUE,413,2250,0,92,1.42,0.77,0.01,0.10,1.49,0.01
hash_table_clean_up,TRUE,761,3182,41,107,2.03,0.74,0.01,0.06,2.11,0.01
hash_iter_delete,TRUE,522,3254,11,78,6.82,5.17,0.01,0.21,6.91,0.01
hash_table_clear,TRUE,832,3440,41,130,2.31,0.81,0.01,0.07,2.40,0.01
hash_table_find,TRUE,1082,4697,69,111,6.16,3.80,0.01,0.09,6.29,0.01
hash_table_create,TRUE,1229,6596,109,87,15.34,11.94,0.01,0.32,15.50,0.02
hash_table_init_bounded,TRUE,174,1650,27,0,5.97,5.67,0.01,0.10,6.00,0.01
hash_table_init_unbounded,TRUE,156,1531,24,0,1.74,1.45,0.01,0.10,1.77,0.01
linked_list_back,TRUE,368,2242,6,15,1.69,1.36,0.01,0.07,1.73,0.01
linked_list_begin,TRUE,366,2215,6,15,1.75,1.42,0.01,0.07,1.80,0.01
linked_list_end,TRUE,365,2221,6,15,1.84,1.51,0.01,0.07,1.89,0.01
hash_table_put,TRUE,1167,6184,93,89,9.69,6.54,0.01,0.21,9.83,0.02
linked_list_init,TRUE,19,109,0,0,0.03,0.01,0.00,0.01,0.04
linked_list_remove,TRUE,21,121,0,0,0.04,0.01,0.01,0.01,0.05
hash_table_remove,TRUE,852,5220,51,105,11.31,9.06,0.01,0.40,11.42,0.01
linked_list_front,TRUE,428,2470,10,23,2.56,2.13,0.01,0.08,2.61,0.01
linked_list_prev,TRUE,22,127,0,0,0.03,0.01,0.01,0.01,0.04
linked_list_next,TRUE,22,127,0,0,0.03,0.01,0.01,0.01,0.04
linked_list_node_reset,TRUE,16,97,0,2,0.09,0.08,0.00,0.01,0.10
linked_list_pop_back,TRUE,607,3349,32,22,3.58,2.83,0.01,0.13,3.64,0.01
linked_list_pop_front,TRUE,629,3364,32,22,3.59,2.78,0.01,0.14,3.67,0.01
linked_list_push_back,TRUE,534,3055,16,22,1.92,1.36,0.01,0.10,1.98,0.01
linked_list_insert_after,TRUE,23,133,0,0,0.04,0.01,0.01,0.01,0.05
linked_list_insert_before,TRUE,23,133,0,0,0.04,0.01,0.01,0.01,0.05
linked_list_push_front,TRUE,603,3381,21,22,3.24,2.53,0.01,0.11,3.31,0.01
linked_list_rbegin,TRUE,435,2584,10,23,1.18,0.75,0.01,0.05,1.23,0.01
string_bytes,TRUE,41,246,2,7,0.23,0.19,0.01,0.01,0.25
linked_list_rend,TRUE,376,2261,6,17,2.00,1.66,0.01,0.07,2.05,0.01
hash_table_foreach,TRUE,1131,9403,0,75,42.80,36.30,0.01,3.62,43.04,0.07
string_compare,TRUE,347,2075,43,6,4.95,4.66,0.01,0.04,4.97,0.01
string_eq,TRUE,347,2033,47,6,4.31,4.05,0.01,0.04,4.34,0.01
string_eq_byte_buf,TRUE,400,2128,23,20,2.97,2.62,0.01,0.03,3.01,0.01
string_eq_byte_cursor,TRUE,329,1843,24,20,2.60,2.33,0.01,0.03,2.63,0.01
string_eq_byte_buf_ignore_case,TRUE,349,3349,21,15,3.39,3.03,0.01,0.05,3.43,0.01
string_eq_c_str,TRUE,569,2679,10,54,2.49,2.29,0.01,0.03,2.52,0.01
linked_list_swap_contents,TRUE,1501,10355,37,95,17.15,13.72,0.01,1.18,17.35,0.03
string_eq_byte_cursor_ignore_case,TRUE,371,4413,21,27,5.87,5.55,0.01,0.05,5.91,0.01
string_new_from_c_str,TRUE,364,1624,0,53,0.39,0.26,0.01,0.02,0.42,0.01
string_eq_c_str_ignore_case,TRUE,562,5092,9,54,5.04,4.82,0.01,0.06,5.08,0.01
string_new_from_array,TRUE,107,941,0,20,1.96,1.87,0.01,0.02,1.98,0.01
string_destroy,TRUE,32,209,2,3,0.08,0.04,0.01,0.09,0.01
string_destroy_secure,TRUE,54,377,2,7,0.19,0.13,0.01,0.02,0.20,0.01
string_new_from_string,TRUE,162,1165,16,20,1.87,1.73,0.01,0.04,1.89,0.01
string_eq_ignore_case,TRUE,403,4885,52,6,5.67,5.13,0.01,0.10,5.71,0.01
priority_queue_size,TRUE,461,2236,0,6,0.96,0.66,0.01,0.02,1.03,0.01
priority_queue_capacity,TRUE,457,2216,0,6,1.02,0.70,0.01,0.02,1.08,0.01
priority_queue_init_static,TRUE,116,605,0,0,0.46,0.40,0.01,0.01,0.47,0.01
priority_queue_init_dynamic,TRUE,168,851,0,0,0.39,0.32,0.01,0.01,0.42,0.01
priority_queue_top,TRUE,473,2292,0,6,1.11,0.77,0.01,0.02,1.17,0.01
priority_queue_clean_up,TRUE,167,850,0,1,0.12,0.01,0.02,0.14,0.01
ring_buffer_init,TRUE,105,474,0,0,0.14,0.06,0.01,0.01,0.16,0.01
ring_buffer_clean_up,TRUE,87,469,0,0,0.31,0.23,0.01,0.01,0.33,0.01
byte_buf_eq2,TRUE,587,2668,0,46,2.35,1.94,0.01,0.03,2.40,0.01
priority_queue_s_sift_either,TRUE,1067,6127,59,12,3.24,2.00,0.01,0.21,3.35,0.01
priority_queue_s_remove_node,TRUE,946,5872,37,6,6.91,5.80,0.01,0.32,7.01,0.02
priority_queue_remove,TRUE,819,3819,4,2,8.36,7.86,0.01,0.02,8.45,0.01
priority_queue_s_swap,TRUE,701,4039,36,7,35.93,34.99,0.01,0.12,36.03,0.01
priority_queue_pop,TRUE,932,4224,4,2,5.47,4.94,0.01,0.02,5.55,0.01
priority_queue_push,TRUE,678,4507,9,8,6.05,4.65,0.01,0.92,6.13,0.01
priority_queue_push_ref,TRUE,679,4522,9,8,9.67,8.25,0.01,0.93,9.75,0.01
ring_buffer_release,TRUE,435,1981,0,0,20.28,19.87,0.01,0.02,20.35,0.01
ring_buffer_buf_belongs_to_pool,TRUE,479,2169,0,0,31.78,31.23,0.01,0.03,31.85,0.01
ring_buffer_acquire,TRUE,597,2748,0,0,50.32,49.51,0.01,0.05,50.44,0.01
ring_buffer_acquire_up_to,TRUE,611,2870,0,0,27.20,26.19,0.01,0.05,27.32,0.01
hash_table_foreach_deep_loose,TRUE,1183,13391,61,118,61.11,49.26,0.01,8.25,61.30,0.06
hash_table_foreach_deep_precise,TRUE,1262,13701,63,133,67.96,57.37,0.01,7.23,68.12,0.06
hash_table_eq,TRUE,7268,29675,576,521,32.62,8.43,0.01,0.55,33.58,0.45
