job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time
priority_queue_s_sift_up,true,6,5540,0,0,4.21,1.93
priority_queue_s_sift_either,true,6,2014,0,0,2.75,2.49
priority_queue_s_sift_down,true,6,5450,0,0,5.21,3.06
priority_queue_s_remove_node,true,7,2287,0,0,3.25,2.75
priority_queue_remove,true,7,268,0,0,4.49,4.43
priority_queue_pop,true,7,223,0,0,5.61,5.54
priority_queue_push,true,10,1393,0,0,8.89,8.45
priority_queue_push_ref,true,10,1563,0,0,10.32,9.85
ring_buffer_release,true,6,212,0,0,22.43,22.4
ring_buffer_buf_belongs_to_pool,true,6,235,0,0,27.04,27
ring_buffer_acquire_up_to,true,6,309,0,0,25.24,25.18
ring_buffer_acquire,true,6,281,0,0,43.45,43.39
hash_table_foreach_deep_loose,true,5,9380,0,0,44.64,29.61
hash_table_foreach_deep_precise,true,5,9449,0,0,47.55,30.87
priority_queue_s_swap,true,6,1150,0,0,127.36,127.2
