job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
byte_buf_write_from_whole_string2,TRUE,232,1418,18,2,0,0,1,1,0.02,0,0.01,0.03,1.08,0
byte_buf_write_u8,TRUE,178,851,5,0,0,0,0.04,0.04,0.02,0,0.01,0.01,0.09,0
byte_buf_write_u82,TRUE,134,598,2,0,0,0,0.04,0.04,0.01,0,0.01,0.01,0.07,0
byte_buf_write2,TRUE,175,816,3,2,0,0,0.14,0.14,0.02,0,0.01,0.02,0.2,0
byte_cursor_advance,TRUE,121,593,2,1,0,0,0.09,0.09,0.02,0,0.01,0.01,0.13,0
byte_cursor_advance_nospec,TRUE,132,686,2,1,0,0,0.15,0.15,0.01,0,0.01,0.01,0.19,0
byte_cursor_advance_nospec2,TRUE,100,492,0,0,0,0,0.08,0.08,0.01,0,0.01,0.01,0.13,0
byte_cursor_advance2,TRUE,90,412,0,0,0,0,0.03,0.03,0.01,0,0.01,0.01,0.06,0
byte_cursor_compare_lexical,TRUE,207,1068,0,8,0,0,0.17,0.17,0.02,0,0.01,0.01,0.21,0
byte_cursor_compare_lexical2,TRUE,188,919,2,6,0,0,0.11,0.11,0.02,0,0.01,0.01,0.15,0
byte_cursor_compare_lookup,TRUE,265,1277,7,11,0,0,0.08,0.08,0.03,0,0.01,0.01,0.14,0
byte_cursor_compare_lookup2,TRUE,204,980,5,7,0,0,0.04,0.04,0.02,0,0.01,0.01,0.1,0
byte_cursor_eq,TRUE,183,943,0,8,0,0,0.14,0.14,0.01,0,0.01,0.01,0.17,0
byte_cursor_eq_byte_buf,TRUE,254,1228,3,5,0,0,0.06,0.06,0.02,0,0.01,0.01,0.11,0
byte_cursor_eq_byte_buf_ignore_case,TRUE,241,1431,3,4,0,0,0.13,0.13,0.02,0,0.01,0.01,0.18,0
byte_cursor_eq_byte_buf_ignore_case2,TRUE,168,1066,0,1,0,0,0.05,0.05,0.02,0,0.01,0.01,0.1,0
byte_cursor_eq_byte_buf2,TRUE,195,925,2,0,0,0,0.06,0.06,0.02,0,0.01,0.01,0.11,0
byte_cursor_eq_c_str,TRUE,169,856,1,9,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
byte_cursor_eq_c_str_ignore_case,TRUE,159,1085,1,9,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
byte_cursor_eq_c_str_ignore_case2,TRUE,98,797,1,3,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
byte_cursor_eq_c_str2,TRUE,108,564,1,3,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
byte_cursor_eq_ignore_case,TRUE,165,1111,0,7,0,0,0.08,0.08,0.02,0,0.01,0.01,0.14,0
byte_cursor_eq_ignore_case2,TRUE,110,835,0,1,0,0,0.01,0.01,0.01,0,0.01,0.01,0.06,0
byte_cursor_eq2,TRUE,128,664,0,2,0,0,0.03,0.03,0.01,0,0.01,0.01,0.06,0
byte_cursor_from_array,TRUE,44,201,0,0,0,0,0.01,0.01,0,0,0,0.01,0.03,0
byte_cursor_from_buf,TRUE,190,869,3,0,0,0,0.03,0.03,0.02,0,0.01,0.01,0.08,0
byte_cursor_from_buf2,TRUE,146,632,0,0,0,0,0.03,0.03,0.02,0,0.01,0.01,0.08,0
byte_cursor_from_c_str,TRUE,180,976,1,17,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
byte_cursor_from_string,TRUE,76,499,3,10,0,0,0.03,0.03,0.01,0,0.01,0.01,0.06,0
byte_cursor_left_trim_pred,TRUE,100,509,0,3,0,0,0.02,0.02,0.01,0,0,0.01,0.05,0
byte_cursor_left_trim_pred2,TRUE,71,344,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
byte_cursor_read,TRUE,154,770,6,1,0,0,0.24,0.24,0.02,0,0.01,0.02,0.28,0
byte_cursor_read_and_fill_buffer,TRUE,262,1256,7,1,0,0,0.32,0.32,0.03,0,0.01,0.03,0.41,0
byte_cursor_read_and_fill_buffer2,TRUE,216,1035,4,0,0,0,0.19,0.19,0.03,0,0.01,0.03,0.27,0
byte_cursor_read_be16,TRUE,115,629,2,1,0,0,0.05,0.05,0.01,0,0.01,0.01,0.08,0
byte_cursor_read_be16_2,TRUE,96,539,2,0,0,0,0.05,0.05,0.01,0,0.01,0.01,0.09,0
byte_cursor_read_be32,TRUE,115,654,2,1,0,0,0.07,0.07,0.01,0,0.01,0.01,0.12,0
byte_cursor_read_be32_2,TRUE,96,564,2,0,0,0,0.08,0.08,0.01,0,0.01,0.01,0.11,0
byte_cursor_read_be64,TRUE,115,705,2,1,0,0,0.11,0.11,0.01,0,0.01,0.02,0.16,0
byte_cursor_read_be64_2,TRUE,96,615,2,0,0,0,0.11,0.11,0.01,0,0.01,0.02,0.16,0
byte_cursor_read_u8,TRUE,121,611,2,3,0,0,0.06,0.06,0.01,0,0.01,0.01,0.1,0
byte_cursor_read_u8_2,TRUE,103,523,2,2,0,0,0.07,0.07,0.01,0,0.01,0.01,0.1,0
byte_cursor_read2,TRUE,122,623,4,0,0,0,0.2,0.2,0.02,0,0.01,0.02,0.25,0
byte_cursor_right_trim_pred,TRUE,102,514,0,4,0,0,0.02,0.02,0.01,0,0.01,0.01,0.05,0
byte_cursor_right_trim_pred2,TRUE,74,351,0,1,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
byte_cursor_satisfies_pred,TRUE,78,408,0,3,0,0,0.02,0.02,0.01,0,0.01,0.01,0.05,0
byte_cursor_satisfies_pred2,TRUE,45,233,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
byte_cursor_trim_pred,TRUE,114,569,1,3,0,0,0.02,0.02,0.01,0,0.01,0.01,0.05,0
byte_cursor_trim_pred2,TRUE,85,405,1,0,0,0,0.02,0.02,0.01,0,0,0.01,0.05,0
hash_array_ignore_case,TRUE,27,127,0,1,0,0,0.01,0.01,0.01,0,0,0.01,0.03,0
hash_byte_cursor_ptr,TRUE,178,770,0,21,0,0,0.04,0.04,0.01,0,0.01,0.01,0.08,0
hash_byte_cursor_ptr_ignore_case,TRUE,50,248,0,0,0,0,0.01,0.01,0.01,0,0,0,0.02,0
hash_c_string,TRUE,326,1495,2,40,0,0,0.03,0.03,0.01,0,0,0.01,0.08,0
hash_callback_c_str_eq,TRUE,201,1163,1,21,0,0,0.01,0.01,0.01,0,0.01,0.01,0.05,0
hash_callback_string_destroy,TRUE,38,240,2,6,0,0,0.05,0.05,0.01,0,0,0.01,0.06,0
hash_callback_string_eq,TRUE,156,908,4,23,0,0,0.52,0.52,0.01,0,0.01,0.01,0.55,0
hash_iter_begin,TRUE,398,1966,6,70,0,0,0.13,0.13,0.04,0,0.01,0.03,0.26,0
hash_iter_begin_done,TRUE,257,1291,1,48,0,0,0.06,0.06,0.02,0,0.01,0.03,0.13,0
hash_iter_begin_done2,TRUE,435,1930,1,76,0,0,0.07,0.07,0.03,0,0.01,0.03,0.17,0
hash_iter_begin2,TRUE,378,1771,30,42,0,0,0.07,0.07,0.05,0,0.01,0.04,0.21,0
hash_iter_delete,TRUE,568,3150,64,24,0,0,2.81,2.81,0.06,0,0.01,0.09,3.05,0
hash_iter_done,TRUE,527,2482,11,77,0,0,0.16,0.16,0.06,0,0.01,0.03,0.3,0
hash_iter_done2,TRUE,541,2374,53,31,0,0,0.12,0.12,0.07,0,0.01,0.04,0.31,0
hash_iter_next,TRUE,588,2862,19,77,0,0,0.75,0.75,0.07,0,0.01,0.03,0.93,0
hash_iter_next2,TRUE,601,2817,61,31,0,0,0.61,0.61,0.08,0,0.01,0.04,0.81,0
hash_ptr,TRUE,12,67,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.02,0
hash_string,TRUE,192,827,22,6,0,0,0.04,0.04,0.01,0,0,0.01,0.08,0
hash_table_clean_up,TRUE,233,1266,8,41,0,0,0.2,0.2,0.02,0,0.01,0.03,0.29,0
hash_table_clear,TRUE,304,1524,8,64,0,0,0.27,0.27,0.03,0,0.01,0.03,0.36,0
hash_table_create,TRUE,1169,6536,72,119,0,0,7.19,7.19,0.14,0,0.01,0.16,7.68,0
hash_table_eq,TRUE,1285,5878,77,141,0,0,0.9,0.9,0.19,0,0.01,0.08,1.35,0
hash_table_find,TRUE,1065,4677,71,106,0,0,3.69,3.69,0.13,0,0.01,0.06,4.01,0
hash_table_find2,TRUE,1027,4564,68,105,0,0,2.88,2.88,0.13,0,0.01,0.07,3.22,0
hash_table_foreach,TRUE,229,1411,3,40,0,0,0.04,0.04,0.04,0,0.01,0.05,0.16,0
hash_table_foreach_deep_loose,TRUE,442,3346,34,40,0,0,0.65,0.65,0.07,0,0.01,0.17,0.99,0
hash_table_foreach_deep_precise,TRUE,492,3507,1,83,0,0,0.13,0.13,0.04,0,0.01,0.17,0.43,0
hash_table_get_entry_count,TRUE,223,1224,3,45,0,0,0.12,0.12,0.02,0,0.01,0.02,0.2,0
hash_table_get_entry_count2,TRUE,183,989,3,41,0,0,0.04,0.04,0.02,0,0.01,0.03,0.13,0
hash_table_init_bounded,TRUE,149,1622,2,25,0,0,2.99,2.99,0.02,0,0.01,0.06,3.11,0
hash_table_init_unbounded,TRUE,155,1543,24,0,0,0,1.04,1.04,0.02,0,0.01,0.06,1.17,0
hash_table_move,TRUE,216,1196,3,43,0,0,0.15,0.15,0.02,0,0.01,0.03,0.22,0
hash_table_put,TRUE,1117,6075,75,102,0,0,4.16,4.16,0.12,0,0.01,0.09,4.52,0
hash_table_remove,TRUE,816,4523,47,103,0,0,1.4,1.4,0.09,0,0.01,0.13,1.74,0
hash_table_swap,TRUE,427,2477,6,86,0,0,0.58,0.58,0.05,0,0.01,0.07,0.75,0
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
linked_list_back,TRUE,376,2287,6,15,0,0,1.18,1.18,0.04,0,0.01,0.04,1.31,0
linked_list_begin,TRUE,388,2282,21,0,0,0,1.24,1.24,0.04,0,0.01,0.04,1.37,0
linked_list_end,TRUE,373,2266,6,15,0,0,1.13,1.13,0.04,0,0.01,0.04,1.26,0
linked_list_front,TRUE,456,2549,33,0,0,0,1.51,1.51,0.05,0,0.01,0.05,1.66,0
linked_list_init,TRUE,19,109,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
linked_list_insert_after,TRUE,23,133,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
linked_list_insert_before,TRUE,23,133,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0
linked_list_next,TRUE,22,127,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0
linked_list_node_reset,TRUE,16,97,0,2,0,0,0.04,0.04,0.01,0,0,0.01,0.05,0
linked_list_pop_back,TRUE,615,3411,32,22,0,0,2.27,2.27,0.07,0,0.01,0.08,2.53,0
linked_list_pop_front,TRUE,658,3451,54,0,0,0,2.36,2.36,0.07,0,0.01,0.07,2.61,0
linked_list_prev,TRUE,22,127,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
linked_list_push_back,TRUE,548,3121,6,32,0,0,1.26,1.26,0.04,0,0.01,0.06,1.44,0
linked_list_push_front,TRUE,632,3467,43,0,0,0,2.29,2.29,0.08,0,0.01,0.08,2.56,0
linked_list_rbegin,TRUE,446,2646,8,25,0,0,0.8,0.8,0.04,0,0.01,0.03,0.92,0
linked_list_remove,TRUE,21,121,0,0,0,0,0.01,0.01,0,0,0,0.01,0.02,0
linked_list_rend,TRUE,399,2329,23,0,0,0,1.25,1.25,0.04,0,0.01,0.04,1.38,0
linked_list_swap_contents,TRUE,1554,10858,21,111,0,0,13.03,13.03,0.14,0,0.01,0.63,14.13,0
mul_size_checked,TRUE,30,159,0,0,0,0,0.22,0.22,0.01,0,0.01,0.01,0.24,0
mul_size_saturating,TRUE,24,149,0,0,0,0,0.22,0.22,0.01,0,0.01,0.01,0.24,0
nospec_mask,TRUE,14,84,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.03,0
priority_queue_capacity,TRUE,438,2162,6,0,0,0,0.52,0.52,0.04,0,0.01,0.02,0.62,0
priority_queue_clean_up,TRUE,157,812,0,1,0,0,0.01,0.01,0.01,0,0,0.01,0.05,0
priority_queue_init_dynamic,TRUE,139,686,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
priority_queue_init_static,TRUE,113,568,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.04,0
priority_queue_pop,TRUE,854,4014,6,0,0,0,6.39,6.39,0.05,0,0.01,0.02,6.55,0
priority_queue_push,TRUE,585,4165,17,0,0,0,3.51,3.51,0.08,0,0.01,0.54,4.24,0
priority_queue_push_ref,TRUE,586,4181,17,0,0,0,5.86,5.86,0.08,0,0.01,0.54,6.59,0
priority_queue_remove,TRUE,761,3635,6,0,0,0,7.27,7.27,0.07,0,0.01,0.02,7.43,0
priority_queue_s_remove_node,TRUE,780,5319,27,14,0,0,3.47,3.47,0.1,0,0.01,0.19,3.88,0
priority_queue_s_sift_down,TRUE,1547,9645,1,151,0,0,0.3,0.3,0.08,0,0.01,71.12,74.65,0
priority_queue_s_sift_either,TRUE,862,4487,1,61,0,0,0.41,0.41,0.05,0,0.01,0.08,0.62,0
