job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
array_list_front,TRUE,2021,1431,388,1497,2,91,n/a,n/a,0.04,0.03,n/a,n/a,0.30,0.19,n/a,n/a,0.01,0.03,0.32
array_list_get_at,TRUE,2038,1454,394,1528,2,91,n/a,n/a,0.04,0.03,n/a,n/a,0.79,0.68,n/a,n/a,0.01,0.03,0.81
array_list_get_at_ptr,TRUE,1992,1422,382,1493,n/a,89,n/a,n/a,0.06,0.03,n/a,n/a,0.47,0.36,n/a,n/a,0.01,0.01,0.49
array_list_init_dynamic,TRUE,1555,1031,218,835,n/a,50,n/a,n/a,0.03,0.01,n/a,n/a,0.23,0.18,n/a,n/a,0.01,0.01,0.25
array_list_init_static,TRUE,1666,1246,256,1019,n/a,53,n/a,n/a,0.02,0.02,n/a,n/a,0.29,0.22,n/a,n/a,0.01,0.01,0.31
array_list_length,TRUE,1655,1216,315,1237,n/a,75,n/a,n/a,0.03,0.03,n/a,n/a,0.28,0.18,n/a,n/a,0.01,0.01,0.29
array_list_pop_back,TRUE,1918,1314,351,1367,n/a,85,n/a,n/a,0.05,0.03,n/a,n/a,0.58,0.48,n/a,n/a,0.01,0.01,0.60
array_list_pop_front,TRUE,2063,1420,379,1469,4,89,n/a,n/a,0.06,0.06,n/a,n/a,1.24,1.04,n/a,n/a,0.01,0.06,1.26
array_list_pop_front_n,TRUE,1990,1418,379,1482,4,85,n/a,n/a,0.05,0.03,n/a,n/a,1.43,1.30,n/a,n/a,0.01,0.03,1.45
array_list_push_back,TRUE,2750,1880,497,2086,2,115,n/a,n/a,0.08,0.04,n/a,n/a,1.16,0.97,n/a,n/a,0.01,0.05,1.18
