job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_buf_eq_c_str,TRUE,1990,819,121,660,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.08,0.06,n/a,n/a,n/a,0.01,0.10
byte_buf_eq_c_str_ignore_case,TRUE,1900,819,121,660,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.09,0.07,n/a,n/a,n/a,0.00,0.09
byte_buf_eq_ignore_case,TRUE,2320,1938,706,4425,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.11,1.06,n/a,n/a,0.00,0.02,1.13
byte_buf_from_array,TRUE,928,696,90,349,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.00,0.02
byte_buf_from_c_str,TRUE,1851,1627,372,1633,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.63,0.58,n/a,n/a,0.00,0.02,0.64
byte_buf_from_empty_array,TRUE,925,696,90,349,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,0.01,n/a,n/a,0.00,0.00,0.02
byte_buf_init,TRUE,1129,821,126,483,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.01,n/a,n/a,0.00,0.00,0.04
byte_buf_init_copy,TRUE,2213,1567,460,2121,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.76,0.69,n/a,n/a,0.00,0.03,0.77
byte_buf_init_copy_from_cursor,TRUE,1755,1162,235,916,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.09,0.05,n/a,n/a,0.00,0.02,0.10
byte_buf_reserve,TRUE,1549,1008,206,771,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,0.02,n/a,n/a,0.00,0.01,0.05
byte_buf_reserve_relative,TRUE,2090,1319,367,1385,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,0.02,n/a,n/a,0.00,0.01,0.06
byte_buf_reset,TRUE,1070,869,118,477,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,0.04,n/a,n/a,0.00,0.01,0.07
byte_buf_secure_zero,TRUE,1211,947,183,712,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.10,0.07,n/a,n/a,0.00,0.01,0.12
byte_buf_write,TRUE,1722,1284,329,1283,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.12,0.09,n/a,n/a,0.00,0.01,0.14
byte_buf_write_be16,TRUE,1626,1193,308,1185,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,0.03,n/a,n/a,0.00,0.00,0.06
byte_buf_write_be32,TRUE,1626,1211,308,1185,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.09,0.05,n/a,n/a,0.00,0.01,0.11
byte_buf_write_be64,TRUE,1623,1201,308,1183,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,0.02,n/a,n/a,0.00,0.01,0.05
byte_buf_write_from_whole_buffer,TRUE,2485,1719,575,2170,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.20,0.15,n/a,n/a,0.00,0.03,0.22
byte_buf_write_from_whole_cursor,TRUE,2311,1590,463,1769,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.18,0.14,n/a,n/a,0.00,0.02,0.19
byte_buf_write_from_whole_string,TRUE,2080,1562,405,1979,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.97,0.90,n/a,n/a,0.00,0.03,0.99
byte_buf_write_u8,TRUE,1588,1176,308,1181,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,0.02,n/a,n/a,0.00,0.01,0.06
byte_cursor_advance,TRUE,1198,882,195,786,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.15,0.12,n/a,n/a,0.00,0.00,0.16
byte_cursor_advance_nospec,TRUE,1276,950,213,880,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.14,0.12,n/a,n/a,0.00,0.00,0.16
byte_cursor_compare_lexical,TRUE,2461,1562,526,2249,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.59,0.57,n/a,n/a,0.00,0.01,0.61
byte_cursor_compare_lookup,TRUE,2180,2398,988,4024,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.38,1.33,n/a,n/a,0.00,0.01,1.41
byte_cursor_eq,TRUE,1886,1482,474,2049,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.90,0.84,n/a,n/a,0.00,0.01,0.92
byte_cursor_eq_byte_buf,TRUE,2269,1765,601,2495,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.37,0.33,n/a,n/a,0.00,0.01,0.39
byte_cursor_eq_byte_buf_ignore_case,TRUE,2042,1729,562,3910,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.24,1.17,n/a,n/a,0.00,0.02,1.26
