job_name,pp_loc,opsem_loc,result,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
string_eq_c_str,n/a,n/a,TRUE,359,2117,7,1,8,7,0.01,0.04,1.26,1.20,n/a,n/a,0.01,0.02,1.27
hash_table_remove,n/a,n/a,TRUE,588,3818,75,n/a,20,62,0.43,0.96,4.78,4.05,n/a,n/a,0.01,0.17,4.82
string_eq_ignore_case,n/a,n/a,TRUE,362,4809,46,n/a,14,6,0.07,0.04,1.29,1.10,n/a,n/a,0.01,0.06,1.31
string_destroy_secure,n/a,n/a,TRUE,46,902,4,n/a,4,4,0.01,0.02,0.44,0.40,n/a,n/a,0.01,0.02,0.45
priority_queue_init_static,n/a,n/a,TRUE,22,105,n/a,n/a,n/a,2,0.01,0.13,0.06,0.04,n/a,n/a,0.01,0.01,0.07
priority_queue_clean_up,n/a,n/a,TRUE,63,318,n/a,1,2,2,0.01,0.13,0.03,0.01,n/a,n/a,n/a,0.01,0.05
string_new_from_string,n/a,n/a,TRUE,100,1032,9,8,17,10,0.02,0.05,1.53,1.48,n/a,n/a,0.01,0.03,1.56
ring_buffer_clean_up,n/a,n/a,TRUE,32,167,n/a,n/a,n/a,n/a,0.01,0.05,0.03,0.01,n/a,n/a,0.01,0.01,0.04
priority_queue_size,n/a,n/a,TRUE,154,724,n/a,6,6,3,0.02,0.50,0.29,0.25,n/a,n/a,0.01,0.01,0.31
priority_queue_init_dynamic,n/a,n/a,TRUE,29,134,n/a,n/a,n/a,6,0.01,0.25,0.06,0.04,n/a,n/a,0.01,0.01,0.07
priority_queue_capacity,n/a,n/a,TRUE,150,704,n/a,6,6,3,0.02,0.49,0.30,0.26,n/a,n/a,0.01,0.01,0.31
ring_buffer_init,n/a,n/a,TRUE,18,83,n/a,n/a,n/a,n/a,0.01,0.04,0.04,0.02,n/a,n/a,0.01,0.01,0.06
priority_queue_top,n/a,n/a,TRUE,154,727,n/a,6,6,3,0.02,0.49,0.26,0.21,n/a,n/a,0.01,0.01,0.29
string_eq_c_str_ignore_case,n/a,n/a,TRUE,348,4675,6,1,7,7,0.03,0.04,3.49,3.33,n/a,n/a,0.01,0.08,3.52
priority_queue_s_remove_node,n/a,n/a,TRUE,352,3016,25,20,41,7,0.06,1.00,1.84,1.66,n/a,n/a,0.01,0.09,1.88
priority_queue_pop,n/a,n/a,TRUE,244,1021,4,2,6,10,0.03,2.17,0.91,0.85,n/a,n/a,0.01,0.01,0.94
priority_queue_s_sift_either,n/a,n/a,TRUE,501,3457,37,36,61,8,0.09,2.88,1.17,0.91,n/a,n/a,0.01,0.12,1.20
priority_queue_remove,n/a,n/a,TRUE,227,982,4,2,6,10,0.02,2.41,1.17,1.11,n/a,n/a,0.01,0.01,1.19
priority_queue_push,n/a,n/a,TRUE,217,1480,5,12,17,4,0.04,0.61,3.87,3.73,n/a,n/a,0.01,0.04,3.89
priority_queue_push_ref,n/a,n/a,TRUE,217,1652,5,12,17,4,0.03,0.64,3.51,3.43,n/a,n/a,0.01,0.02,3.53
ring_buffer_release,n/a,n/a,TRUE,165,664,n/a,n/a,n/a,n/a,0.07,0.48,5.76,5.67,n/a,n/a,0.01,0.01,5.79
priority_queue_s_swap,n/a,n/a,TRUE,312,1939,24,19,39,4,0.07,0.94,10.60,10.46,n/a,n/a,0.01,0.03,10.63
huffman_test_transitive,n/a,n/a,TRUE,80,389,4,2,14,62,0.01,1.19,0.03,0.01,n/a,n/a,0.01,0.01,0.04
ring_buffer_acquire_up_to,n/a,n/a,TRUE,208,926,n/a,n/a,n/a,n/a,0.08,0.97,7.36,7.25,n/a,n/a,0.01,0.01,7.39
hash_table_eq,n/a,n/a,TRUE,5586,23331,593,6,17,73,4.08,3.99,19.99,13.08,n/a,n/a,0.01,0.37,20.41
sanitize_pem,n/a,n/a,TRUE,139,695,1,15,51,28,0.01,1.86,0.09,0.06,n/a,n/a,0.01,0.01,0.11
input_stream_from_cursor,n/a,n/a,TRUE,79,432,8,n/a,11,43,0.02,0.57,0.16,0.10,n/a,n/a,0.01,0.03,0.18
ring_buffer_buf_belongs_to_pool,n/a,n/a,TRUE,128,586,n/a,n/a,n/a,n/a,0.02,0.40,19.37,19.32,n/a,n/a,0.01,0.01,19.38
ecc,n/a,n/a,TRUE,761,4492,n/a,82,183,198,0.03,7.64,0.21,0.01,n/a,n/a,0.01,0.08,0.26
rsa,n/a,n/a,TRUE,1816,10864,n/a,n/a,n/a,279,0.06,0.32,0.58,0.03,n/a,n/a,0.01,0.23,0.68
sha1,n/a,n/a,TRUE,1344,6197,n/a,n/a,n/a,69,0.48,0.29,0.67,0.02,n/a,n/a,0.01,0.07,0.79
sha256,n/a,n/a,TRUE,1334,6151,n/a,n/a,n/a,69,0.30,0.28,0.44,0.01,n/a,n/a,0.01,0.06,0.52
sha256_hmac,n/a,n/a,TRUE,408,2046,n/a,n/a,n/a,52,0.04,0.20,0.09,0.01,n/a,n/a,0.01,0.03,0.13
ring_buffer_acquire,n/a,n/a,TRUE,218,940,n/a,n/a,n/a,n/a,0.08,0.59,43.72,43.59,n/a,n/a,0.01,0.02,43.75
huffman_test_transitive_chunked,n/a,n/a,TRUE,205,1319,8,4,68,8,0.06,49.58,0.25,0.07,n/a,n/a,0.01,0.07,0.29
hash_table_foreach_deep_precise,n/a,n/a,TRUE,1276,13096,159,63,31,24,0.58,1.01,56.13,51.37,n/a,n/a,0.01,3.34,56.23
pem_objects_init_from_file_contents,n/a,n/a,TRUE,227,1076,n/a,19,310,49,0.01,44.54,0.21,0.18,n/a,n/a,0.01,0.01,0.23
hash_table_foreach_deep_loose,n/a,n/a,TRUE,1227,12750,157,58,28,21,0.50,0.90,68.59,64.42,n/a,n/a,0.01,2.98,68.67
der,n/a,n/a,TRUE,2144,53016,320,12,424,525,0.89,7.80,143.81,88.43,n/a,n/a,0.01,47.13,144.17
profile_collection_new_from_buffer,n/a,n/a,TRUE,67,337,6,2,631,60,0.03,183.60,0.10,0.03,n/a,n/a,0.01,0.02,0.13
array_eq,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
byte_buf_eq,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
priority_queue_s_sift_up,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
priority_queue_s_sift_down,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
