job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time
byte_cursor_read_and_fill_buffer2,TRUE,224,1059,2,2,0.24,0.17,0.04,0.01,0.02,0.25
hash_table_get_entry_count2,TRUE,179,979,0,44,0.14,0.03,0.06,0.01,0.02,0.16
byte_cursor_compare_lexical2,TRUE,316,1588,0,28,0.42,0.33,0.07,0.01,0.01,0.43
byte_cursor_eq_ignore_case2,TRUE,221,2663,0,10,0.67,0.59,0.05,0.01,0.02,0.68
hash_iter_done2,TRUE,490,2289,3,81,0.67,0.13,0.33,0.01,0.03,0.72
byte_buf_write_from_whole_string2,TRUE,267,2580,24,3,2.74,2.59,0.06,0.01,0.06,2.76
hash_iter_begin2,TRUE,726,3342,35,69,1.21,0.58,0.46,0.01,0.04,1.25
hash_iter_next2,TRUE,563,2822,12,81,1.21,0.57,0.44,0.01,0.03,1.25
hash_iter_begin_done2,TRUE,1258,5272,67,104,1.16,0.40,0.58,0.01,0.04,1.21
ring_buffer_acquire2,TRUE,561,2585,0,0,3.46,3.21,0.20,0.01,0.02,3.50
hash_table_find2,TRUE,1050,4596,69,107,3.56,2.71,0.65,0.01,0.03,3.61
hash_table_eq,TRUE,7268,29936,576,521,25.51,11.06,7.70,0.01,0.29,25.88
ring_buffer_release2,TRUE,435,1981,0,0,6.26,6.14,0.10,0.01,0.01,6.29
ring_buffer_acquire_up_to2,TRUE,575,2714,0,0,7.73,7.49,0.19,0.01,0.03,7.76
ring_buffer_buf_belongs_to_pool2,TRUE,405,1807,0,0,11.75,11.66,0.08,0.00,0.01,11.76
