job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
linked_list_insert_after,TRUE,8,43,0,0,1,0,0.01,0.01,0.01,0.11,0.01,0.01,0.03,0
linked_list_insert_before,TRUE,8,43,0,0,1,0,0.01,0.01,0.01,0.11,0.01,0.01,0.03,0
linked_list_next,TRUE,9,49,0,0,2,6,0.01,0.01,0.01,0.13,0,0.01,0.03,0
linked_list_node_reset,TRUE,8,65,0,0,0,2,0.09,0.09,0.01,0.05,0.01,0.01,0.1,0
linked_list_pop_back,TRUE,416,2271,32,22,65,0,1.73,1.73,0.4,3.87,0.01,0.05,2.33,0
linked_list_pop_front,TRUE,444,2364,32,22,65,0,1.65,1.65,0.5,3.77,0.01,0.05,2.36,0
linked_list_prev,TRUE,13,73,0,0,6,2,0.01,0.01,0.01,0.11,0.01,0.01,0.03,0
linked_list_push_back,TRUE,383,2177,6,42,59,0,1.22,1.22,0.21,3.84,0.01,0.04,1.56,0
linked_list_push_front,TRUE,409,2365,21,25,62,0,1.76,1.76,0.4,4.09,0.01,0.05,2.35,0
linked_list_rbegin,TRUE,254,1560,8,25,33,12,0.47,0.47,0.16,2.93,0.01,0.02,0.71,0
linked_list_remove,TRUE,9,49,0,0,2,0,0.01,0.01,0.01,0.1,0.01,0.01,0.03,0
linked_list_rend,TRUE,189,1224,6,17,23,12,0.65,0.65,0.13,2.56,0.01,0.03,0.86,0
linked_list_swap_contents,TRUE,942,7313,5,103,134,24,7.19,7.19,0.92,10.72,0.01,0.46,9.01,0
mul_size_checked,TRUE,28,147,0,0,0,0,0.16,0.16,0.01,0.06,0.01,0.01,0.19,0
mul_size_saturating,TRUE,34,188,0,0,0,0,0.18,0.18,0.02,0.06,0.01,0.01,0.2,0
nospec_mask,TRUE,14,84,0,0,0,0,0.02,0.02,0.01,0.05,0.01,0.01,0.04,0
priority_queue_capacity,TRUE,180,834,0,6,6,3,0.86,0.86,0.08,7.59,0.01,0.01,0.98,0
priority_queue_clean_up,TRUE,70,345,0,1,4,2,0.01,0.01,0.03,1.08,0,0.01,0.06,0
priority_queue_init_dynamic,TRUE,58,250,0,0,0,6,0.25,0.25,0.02,1.39,0.01,0.01,0.28,0
priority_queue_init_static,TRUE,36,163,0,0,0,2,0.34,0.34,0.02,1.2,0.01,0.01,0.37,0
priority_queue_size,TRUE,184,854,0,6,6,3,0.86,0.86,0.08,6.94,0.01,0.01,0.98,0
priority_queue_top,TRUE,180,845,0,6,6,3,1.3,1.3,0.08,7.58,0.01,0.01,1.42,0
ptr_eq,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0
ring_buffer_acquire_up_to2,FALSE,264,1197,0,0,0,0,0.15,0.15,0.29,4.91,0.01,0.02,0.49,0
ring_buffer_acquire2,FALSE,267,1148,0,0,0,0,0.34,0.34,0.47,6.41,0.01,0.03,0.9,0
ring_buffer_buf_belongs_to_pool2,TRUE,171,748,0,0,0,0,17.42,17.42,0.29,1.45,0.01,0.02,17.78,0
ring_buffer_clean_up,TRUE,32,160,0,0,0,0,0.01,0.01,0.03,0.21,0.01,0.01,0.05,0
ring_buffer_init,TRUE,18,88,0,0,0,0,0.46,0.46,0.02,0.2,0,0.01,0.49,0
ring_buffer_release2,FALSE,219,903,0,0,0,0,6.32,6.32,0.34,1.92,0.01,0.02,6.73,0
round_up_to_power_of_two,TRUE,26,635,0,0,0,0,0.13,0.13,0.01,0.06,0.01,0.02,0.17,0
string_bytes,TRUE,24,186,3,0,3,6,0.09,0.09,0.02,0.08,0.01,0.01,0.14,0
string_compare,TRUE,330,2015,43,0,23,6,4.13,4.13,0.24,0.28,0.01,0.03,4.5,0
string_destroy,TRUE,27,196,3,0,3,2,0.07,0.07,0.02,0.06,0,0.01,0.12,0
string_destroy_secure,TRUE,43,336,2,3,5,4,0.09,0.09,0.03,0.09,0.01,0.01,0.14,0
string_eq,TRUE,330,1972,47,0,27,6,3.17,3.17,0.23,0.3,0.01,0.03,3.53,0
string_eq_byte_buf,TRUE,258,1589,23,0,14,9,1.81,1.81,0.29,0.49,0.01,0.03,2.21,0
string_eq_byte_buf_ignore_case,TRUE,226,3022,21,1,12,4,2.12,2.12,0.32,0.39,0,0.03,2.56,0
string_eq_byte_cursor,TRUE,241,1501,24,0,15,9,1.96,1.96,0.25,0.36,0.01,0.02,2.3,0
string_eq_byte_cursor_ignore_case,TRUE,278,4192,21,7,12,4,3.54,3.54,0.29,0.28,0.01,0.04,3.96,0
string_eq_c_str,TRUE,367,2004,10,1,11,7,1.78,1.78,0.09,0.19,0.01,0.02,1.94,0
string_eq_c_str_ignore_case,TRUE,360,4574,9,1,10,7,2.06,2.06,0.09,0.18,0.01,0.03,2.22,0
string_eq_ignore_case,TRUE,386,4825,52,0,20,6,1.66,1.66,0.42,0.19,0.01,0.06,2.35,0
string_new_from_array,TRUE,102,934,0,18,18,2,0.71,0.71,0.06,0.17,0.01,0.01,0.82,0
string_new_from_c_str,TRUE,225,1148,0,16,16,22,0.12,0.12,0.06,0.25,0.01,0.02,0.24,0
string_new_from_string,TRUE,159,1133,29,2,31,5,0.88,0.88,0.1,0.26,0.01,0.02,1.06,0
